5|struct_pl_dynamic|Select|assembly_cat=%CAT and assembly_nam=%PART and assembly_ver=%REV||CPR|
5|surf_dynamic|Select|assembly_cat=%CAT and assembly_nam=%PART and assembly_ver=%REV||CPR|
5|tm_cable_dynamic|Select|file_key=%FKEY||FKEY|
5|tm_outfit_dynamic|Select|file_key=%FKEY||FKEY|
5|tm_pallet_dynamic|Select|file_key=%FKEY||FKEY|
5|tm_wway_dynamic|Select|file_key=%FKEY||FKEY|
5|vdat_fab|Select|file_key=%FKEY||FKEY|
5|vdat_pieces|Select|file_key=%FKEY||FKEY|
5|vdat_set_keys|Select|file_key=%FKEY||FKEY|
5|vdat_set_ref_keys|Select|file_key=%FKEY||FKEY|
5|vdat_stages|Select|file_key=%FKEY||FKEY|
5|vdpdm_hull_app|Select|file_key=%FKEY||FKEY|
5|vdpdm_macro|Select|file_key=%FKEY||FKEY|
5|vdpdm_notebook|Select|file_key=%FKEY||FKEY|
5|vdpdm_post_date|Select|file_key=%FKEY||FKEY|
5|vdpdm_purp_info|Select|file_key=%FKEY||FKEY|
5|vrsch_dynamic|Select|assembly_cat=%CAT and assembly_nam=%PART and assembly_ver=%REV||CPR|
